country,scenario,age_group,infant_cases,infant_infections,mean_infant_age_population,analysis_years,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,current_infant_cases_per_100k,relative_reduction_infant_cases,analysis_window,rank
Australia,next_generation_vaccine,infant_0_2m,1353.4999139248546,1961.5085859785813,50860.30891079512,5.0,532.2421129210144,771.3317626202033,3745.6199230345746,0.8579027974387188,2025_2029,1.0
Australia,combined_strategy,infant_0_2m,2280.056294951694,4318.316007919596,50860.30891844397,5.0,896.5955352759782,1698.1084463502355,3745.6199230345746,0.7606282661617234,2025_2029,2.0
Australia,maternal_immunization,infant_0_2m,5104.4354142212605,9687.174774043637,50860.30891479808,5.0,2007.2372831129612,3809.325967827577,3745.6199230345746,0.4641107949130179,2025_2029,3.0
Australia,pregnancy_tdap_scaleup,infant_0_2m,6160.052443715451,11698.306069448934,50860.30891589856,5.0,2422.341733669598,4600.171064156525,3745.6199230345746,0.3532868300991152,2025_2029,4.0
Australia,resistance_guided_treatment,infant_0_2m,7101.344282401693,11096.435360011095,50860.308919149415,5.0,2792.4896381146305,4363.495069465917,3745.6199230345746,0.25446529666783446,2025_2029,5.0
Australia,cocooning_adjunct,infant_0_2m,7895.739845551332,12344.827870676148,50860.30890223828,5.0,3104.87294158131,4854.405384916125,3745.6199230345746,0.17106566993432504,2025_2029,6.0
Australia,targeted_pep_high_risk,infant_0_2m,8681.63766309423,13580.565883591475,50860.30892135561,5.0,3413.9146407932726,5340.339518814509,3745.6199230345746,0.08855817970248447,2025_2029,7.0
Australia,current,infant_0_2m,9525.169318547833,14896.815343782053,50860.30891693284,5.0,3745.6199230345746,5857.933489201628,3745.6199230345746,0.0,2025_2029,8.0
Australia,adolescent_booster,infant_0_2m,9554.337314459144,14942.479247680114,50860.30891696755,5.0,3757.089769178226,5875.890086343987,3745.6199230345746,-0.0030622023535049614,2025_2029,9.0
Australia,higher_child_coverage,infant_0_2m,9619.569761483848,15044.67847387561,50860.30893717483,5.0,3782.741380264291,5916.078289048359,3745.6199230345746,-0.00991063108176804,2025_2029,10.0
Australia,next_generation_vaccine,infant_3_11m,3778.0650554739095,7236.850672746241,239956.57553710495,5.0,314.8957303643217,603.1800259315829,2286.9486186652357,0.8623074747747902,2025_2029,1.0
Australia,combined_strategy,infant_3_11m,10298.006672603537,22862.59604680546,239956.5755843928,5.0,858.322523358542,1905.561120058965,2286.9486186652357,0.6246865730374402,2025_2029,2.0
Australia,resistance_guided_treatment,infant_3_11m,21113.931682569742,48999.8993606217,239956.57557675694,5.0,1759.8127187655125,4084.063897215243,2286.9486186652357,0.23049748280194549,2025_2029,3.0
Australia,maternal_immunization,infant_3_11m,22949.959402499877,53454.95716419605,239956.5755603111,5.0,1912.8427173883879,4455.38589966755,2286.9486186652357,0.1635829936114579,2025_2029,4.0
Australia,cocooning_adjunct,infant_3_11m,23090.87762862773,53853.4653911115,239956.5754815409,5.0,1924.5880286705492,4488.600929817343,2286.9486186652357,0.15844719336378277,2025_2029,5.0
Australia,targeted_pep_high_risk,infant_3_11m,24989.879903519264,58557.937314019066,239956.5755879275,5.0,2082.8668555792256,4880.711201228293,2286.9486186652357,0.08923758121208747,2025_2029,6.0
Australia,pregnancy_tdap_scaleup,infant_3_11m,27307.779131988333,63871.64702300616,239956.5755652294,5.0,2276.0600802593995,5323.600478340999,2286.9486186652357,0.004761164425369224,2025_2029,7.0
Australia,current,infant_3_11m,27438.417952395386,64284.134398824215,239956.5755736975,5.0,2286.9486186652357,5357.980646717533,2286.9486186652357,0.0,2025_2029,8.0
Australia,adolescent_booster,infant_3_11m,27517.070746025456,64472.224360895234,239956.57556861287,5.0,2293.504204318607,5373.657646857036,2286.9486186652357,-0.002866520742909273,2025_2029,9.0
Australia,higher_child_coverage,infant_3_11m,27688.579745058632,64885.64755776298,239956.5756663997,5.0,2307.79920643248,5408.1158124185295,2286.9486186652357,-0.009117208667072552,2025_2029,10.0
Brazil,combined_strategy,infant_0_2m,5.606126562392814,10.608574492154634,407228.01474536787,5.0,0.27533108525935873,0.5210139827333824,32.27436351326827,0.9914690467824047,2025_2029,1.0
Brazil,next_generation_vaccine,infant_0_2m,9.71923838099755,14.10548661242967,407228.01915621344,5.0,0.4773364269549062,0.692756193036844,32.27436351326827,0.9852100436695315,2025_2029,2.0
Brazil,maternal_immunization,infant_0_2m,50.63549789115599,95.81854057276175,407228.0174489271,5.0,2.4868376301002666,4.705891366365966,32.27436351326827,0.92294696596951,2025_2029,3.0
Brazil,cocooning_adjunct,infant_0_2m,79.6062966498148,124.65639525749366,407228.01744010666,5.0,3.9096669797049484,6.122191495619655,32.27436351326827,0.8788615311314304,2025_2029,4.0
Brazil,adolescent_booster,infant_0_2m,112.51832045389254,176.19369094093224,407228.017946602,5.0,5.526059872857106,8.653318690072828,32.27436351326827,0.8287786567631211,2025_2029,5.0
Brazil,resistance_guided_treatment,infant_0_2m,259.4241943636449,406.2356344533999,407228.01659377327,5.0,12.74097968669141,19.951261597928642,32.27436351326827,0.6052290951778652,2025_2029,6.0
Brazil,pregnancy_tdap_scaleup,infant_0_2m,411.9336978436054,779.5188101916185,407228.01654780953,5.0,20.231107934846293,38.28414443582867,32.27436351326827,0.3731523806339633,2025_2029,7.0
Brazil,targeted_pep_high_risk,infant_0_2m,570.4625784234012,893.2974765735685,407228.01597651,5.0,28.016863086173668,43.87210317205171,32.27436351326827,0.13191586025683533,2025_2029,8.0
Brazil,current,infant_0_2m,657.1512526475277,1029.045573014037,407228.0169846678,5.0,32.27436351326827,50.53903612200536,32.27436351326827,0.0,2025_2029,9.0
Brazil,higher_child_coverage,infant_0_2m,747.0597898824319,1169.8365229463068,407228.0174247703,5.0,36.689999603008204,57.45363643415905,32.27436351326827,-0.1368155901176682,2025_2029,10.0
Brazil,combined_strategy,infant_3_11m,26.50107514457487,57.51789139468424,1928108.2395040202,5.0,0.27489198585025404,0.5966251294012409,21.726179763565877,0.9873474311249492,2025_2029,1.0
Brazil,next_generation_vaccine,infant_3_11m,28.446631856180957,53.71659955805651,1928108.2599451388,5.0,0.2950729733089817,0.5571948492102298,21.726179763565877,0.9864185523400755,2025_2029,2.0
Brazil,maternal_immunization,infant_3_11m,246.4914611385282,554.7606634184156,1928108.2515973507,5.0,2.5568218063930916,5.754455570207963,21.726179763565877,0.8823160889665103,2025_2029,3.0
Brazil,cocooning_adjunct,infant_3_11m,253.84322614767248,571.3074712032396,1928108.2515387486,5.0,2.63308064726231,5.92609331708737,21.726179763565877,0.8788060912725253,2025_2029,4.0
Brazil,adolescent_booster,infant_3_11m,358.78378219083584,807.5003914596336,1928108.2536919913,5.0,3.721614504826971,8.376089775181565,21.726179763565877,0.8287036862749335,2025_2029,5.0
Brazil,resistance_guided_treatment,infant_3_11m,827.1257794661037,1861.6582226942965,1928108.2475009637,5.0,8.579661235702384,19.310723089403368,21.726179763565877,0.605100329230903,2025_2029,6.0
Brazil,targeted_pep_high_risk,infant_3_11m,1818.3516852764158,4092.9716934728476,1928108.2446729697,5.0,18.861510398082757,42.455828968949454,21.726179763565877,0.13185333991791237,2025_2029,7.0
Brazil,pregnancy_tdap_scaleup,infant_3_11m,2004.4397667794974,4511.885889559261,1928108.2472553358,5.0,20.791776287797322,46.80116789067145,21.726179763565877,0.04300818118680583,2025_2029,8.0
Brazil,current,infant_3_11m,2094.521321594006,4714.7234281913225,1928108.2494829146,5.0,21.726179763565877,48.9051735498329,21.726179763565877,0.0,2025_2029,9.0
Brazil,higher_child_coverage,infant_3_11m,2380.917312796805,5359.473398425332,1928108.2514766497,5.0,24.696925714345863,55.593075692931215,21.726179763565877,-0.13673577145678562,2025_2029,10.0
China,combined_strategy,infant_0_2m,45.039478877832124,85.23425722002736,1419082.491150277,5.0,0.6347690026296374,1.201258668915552,145.28433776747957,0.9956308504248713,2025_2029,1.0
China,next_generation_vaccine,infant_0_2m,170.10426605339316,227.54371165481413,1419082.4929142557,5.0,2.397383758911206,3.2069130975962628,145.28433776747957,0.9834986771750435,2025_2029,2.0
China,maternal_immunization,infant_0_2m,3226.7383864700187,6106.666894986514,1419082.4915602938,5.0,45.47640331919241,86.06500229979133,145.28433776747957,0.6869834421383043,2025_2029,3.0
